id,Reviews,clean_text,tokens
1642,一直用***的护肤品，用了两天真的很好用，补水**快递真的很快，点个赞，会继续回购的,一直用 某品牌 的护肤品 用了两天真的很好用 补水 某品牌 快递真的很快 点个赞 会继续回购的,一直用 某品牌 护肤品 用 两天 真的很好 用 补水 某品牌 快递 真的很快 点个赞 会 继续 回购
1643,已经是第二次买了，用着不错，秒杀时买的，价位也合理。,已经是第二次买了 用着不错 秒杀时买的 价位也合理,第二次 买 用 不错 秒杀 时买 价位 合理
1644,还好吧，没有赠品送,还好吧 没有赠品送,还好吧 没有 赠品 送
1645,宝贝收到了！喜欢这一款面膜！,宝贝收到了 喜欢这一款面膜,宝贝 收到 喜欢 一款 面膜
1646,很好用，建议购买哟,很好用 建议购买哟,很好用 建议 购买 哟
1647,很好，水份充足，保湿效果，棒,很好 水份充足 保湿效果 棒,很好 水份 充足 保湿效果 棒
1648,为了***买的，洗面奶的泡沫丰富，洗的干净不干燥!,为了 某品牌 买的 洗面奶的泡沫丰富 洗的干净不干燥,为了 某品牌 买 洗面奶 泡沫 丰富 洗的干净 不干燥
1649,之前有买过，还可以，再来一次,之前有买过 还可以 再来一次,之前 有 买 还可以 来 一次
1650,用了几天很好！不贵！又好用！涂在脸上很自然！挺喜欢的！,用了几天很好 不贵 又好用 涂在脸上很自然 挺喜欢的,用 几天 很好 不贵 好用 涂 脸上 很自然 挺喜欢的
1651,不错不错，很大一盒子哈哈哈，超级喜欢，还没用不知道效果怎么样，不过应该可以,不错不错 很大一盒子哈哈哈 超级喜欢 还没用不知道效果怎么样 不过应该可以,不错不错 很大 一 盒子 哈哈哈 超级喜欢 还 没用 不 知道 效果 怎么样 应该可以
1652,质优价廉，送货速度快，服务好,质优价廉 送货速度快 服务好,质优价廉 送货速度 快 服务 好
1653,超级划算，一个原装，两个替换装。盒子很漂亮，用起来润润的。,超级划算 一个原装 两个替换装 盒子很漂亮 用起来润润的,超级划算 原装 两个 替换 装 盒子 很漂亮 用 起来 润润的
1654,*近几年一直用这个牌子，感觉不错，**信得过，快递小哥???,近几年一直用这个牌子 感觉不错 某品牌 信得过 快递小哥,近几年 一直用 牌子 感觉不错 某品牌 信得过 快递小哥
1655,给妈妈买的，用着不过敏,给妈妈买的 用着不过敏,妈妈 买 用 不过敏
1656,老婆大人用了之后表示很好，嗯嗯，看着感觉变了个人?,老婆大人用了之后表示很好 嗯嗯 看着感觉变了个人,老婆大人 用 之后 表示 很好 看着 感觉 变 个人
1657,不错，挺满意的,不错 挺满意的,不错 挺满意的
1658,用了好几年***的隔离霜了 还不错&hellip,用了好几年 某品牌 的隔离霜了 还不错 hellip,用 好几年 某品牌 隔离霜 还不错 hellip
1659,此款隔离霜真地很好，美白又遮瑕，价格也挺实惠，货真价值。,此款隔离霜真地很好 美白又遮瑕 价格也挺实惠 货真价值,此款 隔离霜 真 很好 美白 遮瑕 价格 挺实惠 货真价值
1660,很好又送了一大瓶卸妆水,很好又送了一大瓶卸妆水,很好 送 一大 瓶 卸妆水
1661,这张图代表东西不错但是我懒得拍照片了。,这张图代表东西不错但是我懒得拍照片了,张图 代表 东西 不错 懒得 拍照片
1662,挺好的 很喜欢在**购物 价格便宜 送货快 很方便,挺好的 很喜欢在 某品牌 购物 价格便宜 送货快 很方便,挺好的 很喜欢 某品牌 购物 价格便宜 送货 快 很方便
1663,宝贝收到了，物流特别快，是我理想的,宝贝收到了 物流特别快 是我理想的,宝贝 收到 物流 特别快 理想
1664,大牌子，用着不错，感觉比其他面膜要薄点，唯一要吐槽的是这个包装忒简单了，好歹弄个盒子三,大牌子 用着不错 感觉比其他面膜要薄点 唯一要吐槽的是这个包装忒简单了 好歹弄个盒子三,大 牌子 用 不错 感觉 比 其他 面膜 要 薄点 唯一 要 吐 槽 包装 忒简单 好歹 弄个 盒子 三
1665,就是这样的感觉可以吧的,就是这样的感觉可以吧的,这样 感觉 可以
1666,购物好多次了，价格实惠质量不错，就喜欢这样的感觉,购物好多次了 价格实惠质量不错 就喜欢这样的感觉,购物 好 多次 价格 实惠 质量 不错 喜欢 这样 感觉
1667,物流快，一直在用这个，值得推荐,物流快 一直在用这个 值得推荐,物流 快 一直在用 值得推荐
1668,卸妆还不错?赠品也是一样的还有卸妆棉?,卸妆还不错 赠品也是一样的还有卸妆棉,卸妆 还不错 赠品 一样 还有 卸妆 棉
1669,这个东西非常好，**物流也非常强,这个东西非常好 某品牌 物流也非常强,东西 非常好 某品牌 物流 非常强
1670,挺好用的就是太少了没用几天就没了,挺好用的就是太少了没用几天就没了,挺好用的 太少了 没用 几天 没
1671,用起来很舒服，不会浮粉，目前没啥大问题,用起来很舒服 不会浮粉 目前没啥大问题,用 起来 很舒服 不会浮粉 目前 没 啥 大 问题
1672,很好用，挺湿润的，不干。昨天下的单，今天就到。**物流就是给力,很好用 挺湿润的 不干 昨天下的单 今天就到 某品牌 物流就是给力,很好用 挺湿润的 不干 昨天 下 单 今天 到 某品牌 物流 给力
1673,很好用，给我妈买的，以后接着买,很好用 给我妈买的 以后接着买,很好用 妈 买 以后 接着 买
1674,以后就选**了，正品,以后就选 某品牌 了 正品,以后 选 某品牌 正品
1675,非常好真的好喜欢好帖,非常好真的好喜欢好帖,非常好 真的好 喜欢 好帖
1676,婆婆让买的，应该挺好的，她敏感肌肤，用了没问题,婆婆让买的 应该挺好的 她敏感肌肤 用了没问题,婆婆 买 应该挺好的 敏感 肌肤 用 没问题
1677,东西收到了，一般般,东西收到了 一般般,东西 收到 一般般
1678,还可以吧，相信***,还可以吧 相信 某品牌,还可以吧 相信 某品牌
1679,包装很大气用着很服帖 外观也很漂亮,包装很大气用着很服帖 外观也很漂亮,包装 很大气 用 很服帖 外观 很漂亮
1680,之前用过，很好，还便宜，值得购买,之前用过 很好 还便宜 值得购买,之前 用过 很好 还 便宜 值得 购买
1681,和店里的一样，我老公用了好几年，就喜欢这味道,和店里的一样 我老公用了好几年 就喜欢这味道,店里 一样 老公 用 好几年 喜欢 味道
1682,还不错，用后挺清爽的,还不错 用后挺清爽的,还不错 用后 挺清爽的
1683,挺好的，比实体店打折还便宜，还送了贴面膜，也挺好的，面膜也准备换这个了,挺好的 比实体店打折还便宜 还送了贴面膜 也挺好的 面膜也准备换这个了,挺好的 比 实体店 打折 还 便宜 还 送 贴 面膜 挺好的 面膜 准备 换
1684,最实汇的一次购物，相信**,最实汇的一次购物 相信 某品牌,最实汇的 一次 购物 相信 某品牌
1685,买给妈妈用的，快递非常给力，产品价格做活动力度大，很便宜,买给妈妈用的 快递非常给力 产品价格做活动力度大 很便宜,买 妈妈 用 快递 非常给力 产品价格 做 活动力度 大 很便宜
1686,面膜买的好实惠，补水效果超好，妥妥的好评,面膜买的好实惠 补水效果超好 妥妥的好评,面膜 买 好实惠 补水效果 超好 妥妥的 好评
1687,老客户了，一直在你们家买，五星好评！,老客户了 一直在你们家买 五星好评,老客户 一直 家买 五星好评
1688,很好用，泡沫不多但是清洁力跟强，有香味，洗完后很补水。,很好用 泡沫不多但是清洁力跟强 有香味 洗完后很补水,很好用 泡沫 不多 清洁力 跟强 有香味 洗完 后 很补水
1689,应该是正品，跟商场里买的一样,应该是正品 跟商场里买的一样,应该 是正品 跟 商场 里 买 一样
1690,用了，这款自然色咋那么白?,用了 这款自然色咋那么白,用 款 自然色 咋 那么白
1691,用着不怎么样，不是很遮瑕，不服帖,用着不怎么样 不是很遮瑕 不服帖,用 不怎么样 不是很遮瑕 不服帖
1692,用了质量不错非常喜欢.下次再来.很满意哦,用了质量不错非常喜欢 下次再来 很满意哦,用 质量 不错 非常喜欢 下次 来 很 满意哦
1693,很润。喜欢，和BB霜很搭。,很润 喜欢 和BB霜很搭,很润 喜欢 BB霜 很 搭
1694,乳液有点味道，不太喜欢，但是还好，过得去，没有粉色的那款好,乳液有点味道 不太喜欢 但是还好 过得去 没有粉色的那款好,乳液 有点味道 不太喜欢 还好 过得去 没有 粉色 那款 好
1695,这个很实惠，还送了两个替换装，期待效果吧,这个很实惠 还送了两个替换装 期待效果吧,很实惠 还 送 两个 替换 装 期待 效果
1696,东西收到了非常满意，家里人也很开心，快递员也很好，好评,东西收到了非常满意 家里人也很开心 快递员也很好 好评,东西 收到 非常满意 家里人 很开心 快递员 也很好 好评
1697,双十一买的，价格划算，五分好评。,双十一买的 价格划算 五分好评,双十一 买 价格 划算 五分好评
1698,发货速度很快，第二次购买了值得信赖。,发货速度很快 第二次购买了值得信赖,发货速度 很快 第二次 购买 值得信赖
1699,不错，经常购买，希望越做越好，还会继续支持！,不错 经常购买 希望越做越好 还会继续支持,不错 经常 购买 希望 越做越 好 还会 继续 支持
1700,用了这个牌子的面膜，真的挺好的，现在又买了，好用,用了这个牌子的面膜 真的挺好的 现在又买了 好用,用 牌子 面膜 真的 挺好的 现在 买 好用
1701,用着不错 不油、商品降价、活动 速度太快,用着不错 不油 商品降价 活动 速度太快,用 不错 不油 商品 降价 活动 速度 太快
1702,防晒效果：不知道咋样 个人情况：干敏皮稍微过敏用了,防晒效果 不知道咋样 个人情况 干敏皮稍微过敏用了,防晒效果 不 知道 咋样 个人 情况 干敏皮 稍微过敏 用
1703,挺好了毕竟价格就很美丽。希望以后还能再买。,挺好了毕竟价格就很美丽 希望以后还能再买,挺好了 毕竟 价格 很美丽 希望 以后 还 能 买
1704,以前用过好多种面膜，但这个非常好，用的时候不沙眼睛，,以前用过好多种面膜 但这个非常好 用的时候不沙眼睛,以前 用过 好 多种 面膜 非常好 用 时候 不沙眼睛
1705,清爽度：一直在用，实惠,清爽度 一直在用 实惠,清爽度 一直在用 实惠
1706,挺好用，以前用过好用，这次买的一样好用，价格实惠,挺好用 以前用过好用 这次买的一样好用 价格实惠,挺好用 以前 用过 好用 这次 买 一样 好用 价格 实惠
1707,这是第二次用确实不错，下次还会来买的。,这是第二次用确实不错 下次还会来买的,这是 第二次 用 确实不错 下次 还会来 买
1708,其实我还没用 因为买了三款 效果追评吧 其实我想夸包装很好来着嘻嘻嘻,其实我还没用 因为买了三款 效果追评吧 其实我想夸包装很好来着嘻嘻嘻,其实 还 没用 买 三款 效果 追评 其实 想 夸 包装 很好 来 嘻嘻 嘻
1709,~果然没骗人，比我用的那些韩国面膜好用，性价比又高，会一直回购,果然没骗人 比我用的那些韩国面膜好用 性价比又高 会一直回购,果然 没 骗人 比 用 韩国 面膜 好用 性价比 高 会 一直 回购
1710,一直在用，很好,一直在用 很好,一直在用 很好
1711,一大堆啦，可以用好久啦，保湿很不错,一大堆啦 可以用好久啦 保湿很不错,一大堆 可以 用 好久 保湿 很不错
1712,非常好用，精华也特别多,非常好用 精华也特别多,非常好用 精华 特别多
1713,这个面膜买来还没用，不过一直用***，所以先给好评吧！,这个面膜买来还没用 不过一直用 某品牌 所以先给好评吧,面膜 买来 还 没用 一直用 某品牌 先给 好评
1714,上妆效果：容易上装，肤色显得自然，皮肤感觉不干燥。,上妆效果 容易上装 肤色显得自然 皮肤感觉不干燥,上妆效果 容易上装 肤色 显得 自然 皮肤 感觉 不干燥
